[GIN] 2022/07/13 - 13:05:20 | 404 |            0s |       127.0.0.1 | GET      "/"
[GIN] 2022/07/13 - 13:05:20 | 404 |            0s |       127.0.0.1 | GET      "/"
[GIN] 2022/07/13 - 13:05:20 | 404 |            0s |       127.0.0.1 | GET      "/"
[GIN] 2022/07/13 - 13:05:20 | 404 |            0s |       127.0.0.1 | GET      "/struts2-showcase/struts/utils.js"
[GIN] 2022/07/13 - 13:05:20 | 404 |            0s |       127.0.0.1 | GET      "/"
[GIN] 2022/07/13 - 13:05:21 | 404 |            0s |       127.0.0.1 | GET      "/oXygenLicenseServlet/index.jsp"
[GIN] 2022/07/13 - 13:05:21 | 404 |            0s |       127.0.0.1 | GET      "/dashboard/"
[GIN] 2022/07/13 - 13:05:21 | 404 |            0s |       127.0.0.1 | GET      "/js/?${jndi:dns://MDEDiscoveryd09602f9cbSeenInTheWildGet-8080}"
[GIN] 2022/07/13 - 13:05:23 | 404 |            0s |       127.0.0.1 | GET      "/:undefined"
[GIN] 2022/07/13 - 13:05:23 | 404 |            0s |       127.0.0.1 | GET      "/:undefined"
[GIN] 2022/07/13 - 13:05:23 | 404 |            0s |       127.0.0.1 | GET      "/:undefined"
[GIN] 2022/07/13 - 13:05:23 | 404 |            0s |       127.0.0.1 | GET      "/struts2-showcase/struts/tooltip.gif"
[GIN] 2022/07/13 - 13:05:23 | 404 |            0s |       127.0.0.1 | GET      "/:undefined"
[GIN] 2022/07/13 - 13:05:23 | 404 |            0s |       127.0.0.1 | GET      "/"
[GIN] 2022/07/13 - 13:05:23 | 404 |            0s |       127.0.0.1 | GET      "/"
[GIN] 2022/07/13 - 13:05:23 | 404 |            0s |       127.0.0.1 | GET      "/"
[GIN] 2022/07/13 - 13:05:23 | 404 |            0s |       127.0.0.1 | GET      "/struts2-showcase/struts/domtt.css"
[GIN] 2022/07/13 - 13:05:23 | 404 |            0s |       127.0.0.1 | GET      "/"
[GIN] 2022/07/13 - 13:05:23 | 404 |            0s |       127.0.0.1 | GET      "/:undefined"
[GIN] 2022/07/13 - 13:05:23 | 404 |            0s |       127.0.0.1 | GET      "/:undefined"
[GIN] 2022/07/13 - 13:05:23 | 404 |            0s |       127.0.0.1 | GET      "/struts2-showcase/struts/domTT.js"
[GIN] 2022/07/13 - 13:05:23 | 404 |            0s |       127.0.0.1 | GET      "/:undefined"
[GIN] 2022/07/13 - 13:05:23 | 404 |            0s |       127.0.0.1 | GET      "/:undefined"
[GIN] 2022/07/13 - 13:05:23 | 404 |            0s |       127.0.0.1 | GET      "/"
[GIN] 2022/07/13 - 13:05:23 | 404 |            0s |       127.0.0.1 | GET      "/struts2-showcase/struts/inputtransfersselect.js"
[GIN] 2022/07/13 - 13:05:23 | 404 |            0s |       127.0.0.1 | GET      "/"
[GIN] 2022/07/13 - 13:05:23 | 404 |            0s |       127.0.0.1 | GET      "/"
[GIN] 2022/07/13 - 13:05:23 | 404 |            0s |       127.0.0.1 | GET      "/:undefined"
[GIN] 2022/07/13 - 13:05:23 | 404 |            0s |       127.0.0.1 | GET      "/:undefined"
[GIN] 2022/07/13 - 13:05:23 | 404 |            0s |       127.0.0.1 | GET      "/struts2-showcase/struts/optiontransferselect.js"
[GIN] 2022/07/13 - 13:05:23 | 404 |            0s |       127.0.0.1 | GET      "/:undefined"
[GIN] 2022/07/13 - 13:05:23 | 404 |            0s |       127.0.0.1 | GET      "/"
[GIN] 2022/07/13 - 13:05:23 | 404 |            0s |       127.0.0.1 | GET      "/"
[GIN] 2022/07/13 - 13:05:23 | 404 |            0s |       127.0.0.1 | GET      "/"
[GIN] 2022/07/13 - 13:05:23 | 404 |            0s |       127.0.0.1 | GET      "/"
[GIN] 2022/07/13 - 13:05:23 | 404 |            0s |       127.0.0.1 | GET      "/struts2-showcase"
[GIN] 2022/07/13 - 13:05:23 | 404 |            0s |       127.0.0.1 | GET      "/:undefined"
[GIN] 2022/07/13 - 13:05:23 | 404 |            0s |       127.0.0.1 | GET      "/:undefined"
[GIN] 2022/07/13 - 13:05:23 | 404 |            0s |       127.0.0.1 | GET      "/:undefined"
[GIN] 2022/07/13 - 13:05:23 | 404 |            0s |       127.0.0.1 | GET      "/:undefined"
[GIN] 2022/07/13 - 13:05:23 | 404 |            0s |       127.0.0.1 | GET      "/index.action/struts/utils.js"
[GIN] 2022/07/13 - 13:05:23 | 404 |            0s |       127.0.0.1 | GET      "/"
[GIN] 2022/07/13 - 13:05:23 | 404 |            0s |       127.0.0.1 | GET      "/"
[GIN] 2022/07/13 - 13:05:23 | 404 |            0s |       127.0.0.1 | GET      "/"
